Pekerjaan,Keyword TE,Keyword EB,Keyword KI,Keyword MK
Elit Politik,"Energi Terbarukan, Pengganti Energi Fosil",Tidak berkomentar,Cuaca Ekstrem,Tidak Tahu
Sipil,"Energi Alternatif, Teknologi","PLTA, Air Kering, Tenaga Surya, Tenaga Matahari",Cuaca Ekstrem,Komoditas Perekonomian
Birokrasi,"Konversi Energi, Kendaraan Listrik","PLTA, Energi Alam, Tenaga Air, Tenaga Matahari, Tenaga Angin",Pemanasan Global,Nikel
Birokrasi,"Konversi Energi, Bahan Bakar Minyak",PLTA,Cuaca Ekstrem,Emas
Birokrasi,"Bahan Bakar Gas, Minyak Tanah",PLTN,Cuaca Ekstrem,Nikel
Elit Politik,"Energi Alternatif, Nikel, Etanol, Sinergi","Energi Nuklir, Pembangkit Tenaga Air, Batu Bara","Pemanasan Global, Polusi","Pemasukan Daerah, Dampak Tambang"
Birokrasi,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Cuaca Ekstrem,Mineral
Swasta,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Tindakan Manusia,Mineral
Elit Politik,"Energi Terbarukan, Inovasi Kebijakan","Energi Terbarukan, Batu Bara",Bencana,"Pembebasan Lahan, Pembukaan Lahan"
Birokrasi,"Konversi Energi, Energi Non-Fosil","Energi Alternatif, Sumber Energi, Tenaga Air, Tenaga Angin",Perubahan Kondisi Iklim,Mineral
Birokrasi,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Perubahan Kondisi Iklim,Mineral
Birokrasi,"Konversi Energi, Energi Non-Fosil",Energi alternatif,Cuaca Ekstrem,Tidak Tahu
Elit Politik,Konversi Energi,"PLTA, Energi Alam, Tenaga Air, Tenaga Angin",Cuaca Ekstrem,Tidak Tahu
Sipil,"Konversi Energi, Energi Non-Fosil","Energi Alternatif, Terbarukan",Cuaca Ekstrem,Mineral
Birokrasi,"Energi Fosil, Belum Ada Program",PLTMH,Perubahan Kondisi Iklim,"Tambang Emas, Ilegal"
Elit Politik,Energi ramah lingkungan,"Energi dari Alam, Tenaga Alam",Perubahan Kondisi Iklim,"Mineral, Terbatas"
Elit Politik,"Energi Terbarukan, Biogas",Teknologi terbarukan,Cuaca Ekstrem,Krisis Edukasi
Elit Politik,"Konversi Energi, Energi Non-Fosil","Energi Alternatif, Berkelanjutan",Perubahan Kondisi Iklim,"Nikel, Aluminium"
Elit Politik,"Konversi Energi, Energi Non-Fosil","Energi Alam, Angin, Tenaga Air",Cuaca Ekstrem,Tidak Tahu
Elit Politik,"Konversi Energi, Energi Listrik",Energi nuklir,Cuaca Ekstrem,Batu Bara
Sipil,"Energi Terbarukan, Bahan Bakar Fosil","Energi Alam, Energi Fosil, Tenaga Air, Tenaga Angin, Tenaga Matahari","Emisi Karbon, Efek Rumah Kaca",Pertambangan
Elit Politik,Konversi Energi,Biomassa,Peningkatan Suhu,Nikel
Elit Politik,"Bio Energi, Minyak Bumi, Kepentingan Global","PLTU, Tenaga Air","Arus Angin, Debu Pertambangan",Emas
Elit Politik,Energi Ramah Lingkungan,"Energi dari Alam, Tenaga Alam",Pemanasan Global,"Mineral, Terbatas"
Swasta,"Lainnya, Transisi Energi, Infrastruktur",PLTA,Peningkatan Suhu,"Tambang Emas, Ilegal"
Elit Politik,Energi Terbarukan,"Energi Baru, Kepentingan Masyarakat","Daya Dukung Ekologi, Eksploitasi Hutan","Mineral, Terbatas"
Birokrasi,"Energi Terbarukan, Penggunaan Energi Minyak","	PLTA, Energi Terbarukan, Tenaga Air, Tenaga Matahari",Cuaca Ekstrem,Batu Bara
Sipil,"Konversi Energi, Energi Non-Fosil","	Energi Alternatif, Daur Ulang",Cuaca Ekstrem,"Mineral, Terbatas"
Elit Politik,Energi Terbarukan,Panas bumi,Cuaca Ekstrem,Tidak Tahu
Elit Politik,"Konversi Energi, Infrastruktur","Jangka Panjang, Isu Energi",Isu Sentral,"Cadangan Mineral, Hutan Lindung"
Elit Politik,Lainnya,Dampak positif,Cuaca Ekstrem,Dampak Negatif
Birokrasi,Tidak Berkomentar,"PLTS, Tenaga Matahari",Efek Rumah Kaca,Nikel
Elit Politik,Energi ramah lingkungan,	Energi Tidak Pernah Habis,Efek Rumah Kaca,"Mineral, Terbatas"
Elit Politik,"Energi Terbarukan, Kendaraan Listrik","Panas Bumi, Energi Alam, Tenaga Angin, Tenaga Air",Cuaca Ekstrem,Tidak Tahu
Birokrasi,Lainnya,PLTS,Mati Lampu,Nikel
Elit Politik,"Energi Terbarukan, Kendaraan Listrik","Baterai, Energi Fosil",Cuaca Ekstrem,"Mineral, Terbatas"
Birokrasi,"Energi Terbarukan, Energi Fosil","PLTS, Tenaga Matahari",Perubahan Kondisi Iklim,Nikel
Birokrasi,"Konversi Energi, Energi Panas",Penggunaan energi,Cuaca Ekstrem,Tidak Tahu
Birokrasi,Konversi Energi,Bio energi,Perubahan Kondisi Iklim,Nikel
Birokrasi,"Lainnya, Komitmen","Panas Bumi, Sumber Daya Alam, Tenaga Air","Panas Berkepanjangan, Gagal Panen","Pertambangan, Kesejahteraan Masyarakat"
Swasta,"Konversi Energi, Energi Non-Fosil","Energi Terbarukan, Tidak Habis",Perubahan Kondisi Iklim,"Mineral, Terbatas"
Birokrasi,"Kendaraan Listrik, Teknologi","Belum Ada, Biaya, Komitmen, Tenaga Surya, Tenaga Angin, Tenaga Air",Cuaca Ekstrem,"Mineral, Galian C, Emas"
Elit Politik,Kendaraan listrik,PLTA,Perubahan Kondisi Iklim,Sigi Hijau
Sipil,"Energi Listrik, Batubara, Gas","Energi Hayati, Sawit",Dampak Pertambangan,Terbatas
Elit Politik,Konversi Energi,isu sentral,Sosialisasi,Studi Kelayakan Eksplorasi
Birokrasi,"Energi Listrik, Energi Baru","PLTA, Energi Terbarukan, Tenaga Angin, Tenaga Matahari",Cuaca Ekstrem,Kerusakan Lingkungan
Birokrasi,"Energi Fosil, Belum Ada Program","PLTA, Panel Surya",Banjir,Belum Ada Izin
Elit Politik,Lainnya,"Energi Ramah Lingkungan, Minyak",Kerusakan Lingkungan,Penggunaan Mineral
Elit Politik,"Konversi Energi, Energi Panas Bumi, Surya, Air","Sumber Energi Baru, Panas Bumi, Tenaga Air",Pemanasan Global,Tidak Tahu
,,,,
Birokrasi,Energi terbarukan,"Energi Ramah Lingkungan, Pengganti Energi","Perubahan Kondisi Iklim, Banjir",SDA Berkurang
Birokrasi,Lainnya,"Lainnya, Energi Baru","SIgi Hijau, Eco-green",Hutan Lindung
Birokrasi,Kendaraan listrik,"PLTS, Energi Sampah, Tenaga Matahari",Kerusakan Lingkungan,Nikel
Birokrasi,"Belum Ada Program, Energi Fosil","PLTA, Konsorsium",Banjir,Hutan Lindung
Birokrasi,"Bio Energi, Energi Fosil, Baterai Nikel","PLTS, Lahan, Tenaga Matahari",Pembakaran Sampah,Tambang
Birokrasi,Energi terbarukan,Green and blue economy,Kerusakan Lingkungan,Tambang
Birokrasi,Energi terbarukan,"Panas Bumi, RPJPD","Sigi Hijau, Deforestasi",Hutan Lindung
Birokrasi,"Konversi Energi, PLTU","Inovasi Baru, PLTU",Penjagaan Hutan,"Hutan Lindung, Status Lahan"
Sipil,energi listrik,Inovasi dari energi ,Perubahan Kondisi Iklim,Hasil Bumi Habis
Elit Politik,"Belum ada program, PLTA","PLTA, Energi Baru",Banjir,"Emas, Nikel"
Elit Politik,"Energi Ramah Lingkungan, Konversi Energi","Energi dari Sumber Daya Alam
","Pemanasan Global, Efek Rumah Kaca","Mineral, Terbatas"
Sipil,"Energi Ramah Lingkungan, Konversi Energi",PLTS,Cuaca Ekstrem,"Mineral, Menurun"
Elit Politik,Energi alternatif,"PLTS, Bioethanol",Cuaca Ekstrem,"Nikel, Briket"
Elit Politik,"Sumber Energi, Polusi",Kendaraan listrik,Deforestasi,Krisis Air Bersih
Elit Politik,"Konversi Energi, Energi Terbarukan",Energi yang Tidak Habis,"Pemanasan Global, Efek Rumah Kaca",Nikel
Swasta,"Kendaraan Listrik, Energi Terbarukan",Baterai,Cuaca Ekstrem,Nikel
Elit Politik,Belum ada program,PLTA,"Pembalakan Liar, Banjir",Belum Ada
Sipil,"Energi Terbarukan, Konversi Energi","PLTS, Biomassa","Cuaca Ekstrem, Efek Rumah Kaca",Nikel
Elit Politik,"Energi Ramah Lingkungan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari",Cuaca Ekstrem,"Mineral, Kekurangan Pemasokan, Nikel"
Elit Politik,"Energi Terbarukan, Konversi Energi",Pengganti Energi Fosil,Kerusakan Lingkungan,"Mineral, Terbatas"
Sipil,"Energi Terbarukan, Konversi Energi",PLTA,Pemanasan Global,Tidak Tahu
Sipil,"Konversi Energi, Baterai",Energi dari Sumber Daya Alam,Cuaca Ekstrem,Nikel
Birokrasi,"Dampak Iklim, Nikel, Konversi Energi",PLTS,"Banjir, Cuaca Ekstrem","Nikel, Terbatas"
Birokrasi,Konversi energi,Bio energi,Efek Rumah Kaca,Nikel
Elit Politik,"Energi Digital, Konversi Energi",Litium Kobal,Cuaca Ekstrem,Terbatas
Birokrasi,Lainnya,PLTS,Cuaca Ekstrem,Nikel
Birokrasi,"Energi Rendah Karbon, Energi Terbarukan",PLTS,Cuaca Ektrem,Nikel
Sipil,"Energi Ramah Lingkungan, Kebutuhan Rumah",Berkelanjutan,Cuaca Ekstrem,Dampak Lingkungan
Swasta,"Energi Listrik, Energi Terbarukan","Biomassa, Baterai",Cuaca Ekstrem,Nikel
Elit Politik,"Energi Tidak Terbatas, Perilaku Konsumsi","Geotermal, Matahari, Air",Cuaca Ekstrem,Terbatas
Birokrasi,"Energi Terbarukan, Konversi Energi","Air, Angin, Matahari",Cuaca Ekstrem,Tidak Tahu
Birokrasi,"Energi Terbarukan, Kendaraan Listrik, Konversi Energi","Energi dari Sumber Daya Alam, Tenaga Matahari",Pemanasan Global,"Mineral, Dibutuhkan"
Birokrasi,"Energi Ramah Lingkungan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Perubahan Kondisi Iklim, Pemanasan Global",Mineral Berkurang
Birokrasi,Tidak berkomentar,Energi dari Sumber Daya Alam,Tidak Tahu,Tidak Tahu
Birokrasi,"Energi Terbarukan, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari",Perubahan Kondisi Iklim,Nikel
Swasta,"Konversi Energi, Energi Berkelanjutan",Energi sampah,"Cuaca Ekstrem, Gagal Panen",Tambang
Birokrasi,"Konversi Energi, Energi Baru",Energi yang Tidak Habis,Cuaca Ekstrem,Krisis Air Bersih
Birokrasi,"Kendaraan Listrik, Polusi",Energi dari Sumber Daya Alam,Pemanasan Global,"Pengelolaan, Nikel"
Birokrasi,Tidak berkomentar,tidak berkomentar,Pemanasan Global,Tidak Tahu
Birokrasi,Lainnya,Bio energi,Kesejahteraan Masyarakat,Hampir Habis
Birokrasi,"Energi Terbarukan, Konversi Energi",Tenaga Matahari,Pemanasan Global,"Mineral, Tidak Punya Pengganti"
Sipil,"Energi Terbarukan, Konversi Energi",energi baru,Cuaca Ekstrem,SDA Berkurang
Birokrasi,Tidak berkomentar,tidak berkomentar,Pemanasan Global,Tidak Tahu
Elit Politik,"Energi Listrik, Energi Terbarukan",Energi Gelombang Laut,Cuaca Ekstrem,Tidak Tahu
Birokrasi,"Energi Listrik, Kendaraan Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Perubahan Kondisi Iklim, Banjir",Nikel
Elit Politik,Belum ada program,Energi baru,"Kerusakan Lingkungan, Cuaca Ekstrem",Kerusakan Lingkungan
Elit Politik,"Energi Fosil, Polusi",Energi Tidak Terbatas,Bencana Alam,"Mineral, Terbatas"
Sipil,"Dampak Iklim, Lingkungan",Pemanfaatan energi,Proses Penyesuaian,Terbatas
Sipil,"Energi Listrik, Energi Terbarukan",PLTS,Cuaca Ekstrem,Krisis Air Bersih
Elit Politik,"Energi Berkelanjutan, Konversi Energi",PLTS,Cuaca Ekstrem,"Mineral, Terbatas"
Birokrasi,Konversi energi,PLTS,Kesehatan,Dampak Ekonomi
Birokrasi,"Konversi Energi, Nikel",Minyak sawit,Pemanasan Global,Kekurangan Mineral
Elit Politik,"Konversi Energi, Energi Alternatif",PLTA,Degradasi Hutan,Energi Kritis
Elit Politik,Tidak berkomentar,Berkelanjutan,Cuaca Ekstrem,Tidak Tahu
Birokrasi,Lainnya,Energi ramah lingkungan,Banjir,SDA Berkurang
Birokrasi,"Konversi Energi, Energi Terbarukan","Angin, air, surya",Cuaca Ekstrem,"Nikel, Batu Bara"
Birokrasi,"Konversi Energi, Nikel",Lainnya,Dampak Pertambangan,"Energi Terbarukan, Nikel"
Birokrasi,Dampak kesehatan,Perubahan,Bencana Alam,SDA Berkurang
Birokrasi,Tidak berkomentar,"Energi dari Sumber Daya Alam, Tenaga Matahari",El Nino,Tambang
Birokrasi,"Emisi, Pola Konsumsi",Berkelanjutan,Energi Alam,"Mineral, Nikel"
Birokrasi,"Kendaraan Listrik, Energi Listrik","Energi dari Sumber Daya Alam, Tenaga Matahari","Pemanasan Global, Perubahan Kondisi Iklim","Mineral, Nikel"
Birokrasi,"Konversi Energi, Energi Organik",PLTS,Kerusakan Hutan,Nikel
Birokrasi,"Energi Listrik, BBM, Polusi",PLTA,Banjir,Galian C
Birokrasi,Konversi energi,Tenaga matahari,Kerusakan Hutan,Nikel
Elit Politik,"Kendaraan Listrik, BBM","Fosil, Tenaga Surya, Pengalihan Bahan Bakar Kendaraan",Dampak Pertambangan,SDA Berkurang
Sipil,Microhydro,"Microhydro,:Surya panel",Teluk Doggala,Tambang
Birokrasi,"Energi Listrik, Energi Terbarukan",PLTS,Banjir,"Nikel, Emas, Batu Bara"
Sipil,"Energi Listrik, PLTU Batubara",Microhydro,Banjir,Nikel
Birokrasi,"Energi Terbarukan, Energi Fosil",Energi ramah lingkungan,Perubahan Kondisi Iklim,Eksplorasi Mineral
Sipil,"Energi Terbarukan, Konversi Energi",Berkelanjutan,Perubahan Kondisi Iklim,"Mineral, Terbatas"
Elit Politik,"Energi Terbarukan, Konversi Energi",Energi baru,Bencana Alam,Kubangan Tambang
Sipil,"Konversi Energi, Energi Bersih",Berkelanjutan,Bencana Alam,"Mineral, Tidak Bisa DIperbaharui"
Birokrasi,"Energi Terbarukan, Energi Ramah Lingkungan",PLTA,Banjir,Eksploitasi Hutan
Swasta,"Konversi Energi, Energi Tidak Terbatas",Energi bersih,Bencana Alam,Mineral
Birokrasi,"Lainnya, Scarcity",Energi alternatif,Perubahan Kondisi Iklim,Krisis Mineral
Elit Politik,Lainnya,PLTA,Banjir,"Dampak Tambang, SOP"
Elit Politik,"Kendaraan Listrik, Baterai",Pico hydro,Musim Tanam,"Eksploitasi Tambang, Nikel"
Birokrasi,"Energi Terbarukan, Energi Surya",Energi terbarukan,Banjir,Mineral
Sipil,"Hydropower, Energi Terbarukan","Energi Alternatif, Air, Angin, Matahari",Banjir,Mineral
Birokrasi,"Energi Ramah Lingkungan, BBM",Energi baru,Bencana Alam,"Mineral, Terbatas"
Sipil,"Komitmen, Energi Fosil","Energi Alternatif, Angin, Air, Matahari",Cuaca Ekstrem,"Mineral, Terbatas"
Birokrasi,Energi terbarukan,Energi ramah lingkungan,Cuaca Ekstrem,Eksploitasi SDA
Swasta,Bahan bakar langka,Lainnya,"Bencana Alam, Gagal Panen",Tambang
